 , C0, C1, C2, C3, C4, C5, C6
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted
4.9981, 0.1205633, 0.0002331464, 0.0006178248, 0.01850494, 0.01347303, 0.03782867, 0.001603957
5.098062, 0.1199069, 0.0002185104, 0.0005808711, 0.01765762, 0.03625049, 0.03866813, 0.001496634
5.198024, 0.1217943, 0.008471006, 0.00937998, 0.02805808, 0.03440714, 0.03672077, 0.001396492
5.297986, 0.1166016, 0.007939229, 0.008818937, 0.02677333, 0.03265753, 0.04556537, 0.00130305
5.397948, 0.1162103, 0.007440834, 0.008291453, 0.02665157, 0.03099689, 0.04327065, 0.001296419
5.49791, 0.1138667, 0.006973728, 0.007795518, 0.02543122, 0.0294207, 0.04678564, 0.001209673
5.597872, 0.1251394, 0.006535944, 0.007329247, 0.02426674, 0.02792465, 0.04761361, 0.004492575
5.697834, 0.1279058, 0.006125643, 0.006890865, 0.02315559, 0.02650468, 0.0461022, 0.008908263
5.797796, 0.1224525, 0.005741099, 0.006478704, 0.02209531, 0.02515691, 0.04378044, 0.008312196
5.897758, 0.1176562, 0.005380695, 0.006091195, 0.02108359, 0.02387768, 0.04157561, 0.008681321
5.99772, 0.1126399, 0.005042915, 0.005726864, 0.02011819, 0.02266349, 0.03948183, 0.008100439
6.097682, 0.1078374, 0.004726341, 0.005384325, 0.01919699, 0.02151105, 0.03749348, 0.007558425
6.197644, 0.1032397, 0.004429639, 0.009667214, 0.01831798, 0.02041721, 0.03560527, 0.007052679
6.297606, 0.1120438, 0.008487448, 0.01961948, 0.02422841, 0.01937899, 0.04265107, 0.01203926
6.397568, 0.1138805, 0.007954638, 0.01844599, 0.02311901, 0.01839357, 0.04503661, 0.01603886
6.49753, 0.1090251, 0.007455277, 0.01734268, 0.02206041, 0.01745825, 0.04276852, 0.01496567
6.597492, 0.1043768, 0.006987263, 0.01630537, 0.02105028, 0.0165705, 0.04688571, 0.0139643
