 , C00, C01, C02, C03, C04, C05, C06, C07, C08, C09, C10, C11, C12
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
3.798556, 43.17989, 1.798111, 6.329026, 3.960603, 9.798955, 0.8491536, 1.978215, 1.395206, 2.224617, 7.392711, 5.145943, 3.859616, 2.709461
3.898518, 41.33277, 1.717118, 6.013893, 5.799977, 10.89495, 0.8072492, 1.892806, 1.648147, 2.107512, 7.036344, 4.840935, 3.652589, 2.576785
3.99848, 39.56466, 1.639773, 5.714451, 5.486253, 10.36478, 0.7674127, 1.811084, 1.568602, 1.996572, 6.697155, 4.554006, 3.456667, 2.450605
4.098442, 40.19292, 1.565912, 5.429918, 6.738351, 9.860411, 1.104829, 1.732891, 1.492897, 1.891472, 7.778159, 4.284083, 3.271255, 2.330604
4.198404, 38.47357, 1.495378, 5.159553, 6.37387, 9.380587, 1.3358, 1.658073, 1.420846, 1.791904, 7.403212, 4.030159, 4.635863, 2.21648
4.298366, 36.82777, 1.428021, 4.90265, 6.548896, 8.92411, 2.539495, 1.586486, 1.352272, 1.697577, 7.046338, 3.791286, 4.565127, 2.107944
4.398328, 35.25238, 1.363698, 4.658539, 8.298153, 8.489848, 2.414174, 1.51799, 2.107436, 1.608216, 6.706668, 3.566571, 4.320258, 2.004722
4.49829, 38.08975, 1.302272, 4.426582, 7.849301, 8.076716, 2.295038, 1.452451, 2.005725, 1.523559, 6.383372, 3.355175, 4.088522, 1.906555
4.598252, 46.04576, 1.243614, 4.206175, 7.424727, 7.683689, 2.181782, 1.389742, 1.908923, 1.443358, 10.68629, 3.156309, 3.869217, 1.813195
4.698214, 47.48446, 2.890184, 3.996742, 7.02312, 7.309787, 2.074114, 1.32974, 1.816792, 1.367379, 10.17116, 2.96923, 3.661676, 1.724407
4.798176, 49.05644, 2.76, 6.097727, 6.643235, 6.95408, 1.97176, 3.073217, 1.729109, 1.295399, 9.680854, 2.793239, 3.465266, 1.639967
4.898138, 50.76253, 2.635681, 5.794111, 7.902991, 6.615682, 1.874457, 2.940531, 1.645657, 4.952838, 9.214187, 2.62768, 3.891581, 1.559661
4.9981, 50.15345, 2.516961, 5.505612, 7.475514, 6.293751, 1.781955, 2.949083, 1.997474, 4.692119, 8.78835, 2.471934, 3.682839, 1.483288
5.098062, 58.32973, 2.403588, 5.485109, 7.071159, 5.987486, 1.694018, 2.821757, 2.244917, 7.903677, 9.91747, 4.824298, 3.485295, 1.410655
5.198024, 58.7421, 2.295322, 8.076712, 8.47129, 5.696124, 1.610421, 2.699928, 2.13657, 7.487624, 13.05315, 4.538355, 4.415164, 1.341578
5.297986, 60.74103, 2.191933, 7.674559, 8.401747, 5.418941, 1.530949, 2.583359, 2.033453, 7.093472, 12.42392, 4.26936, 4.178339, 1.275884
5.397948, 59.17724, 2.093201, 7.292429, 7.947292, 7.805874, 1.455399, 2.471823, 2.031335, 6.720069, 12.70514, 4.593052, 3.954216, 1.213407
5.49791, 57.9012, 1.998916, 6.929326, 7.517418, 7.426027, 1.383577, 2.365102, 1.933297, 6.366322, 12.09269, 4.320815, 3.742115, 1.153989
5.597872, 59.4003, 1.908878, 6.584303, 8.660153, 7.064663, 1.3153, 2.262989, 1.83999, 6.031196, 11.69329, 4.064714, 3.541391, 1.097481
5.697834, 56.85932, 1.822896, 6.256459, 8.191721, 6.720884, 1.588485, 2.165285, 1.751187, 5.713711, 15.14585, 6.28787, 4.191862, 1.04374
5.797796, 57.50542, 1.740786, 5.944939, 7.748626, 6.393834, 1.510095, 2.071799, 1.66667, 5.412939, 14.41574, 5.915179, 3.967014, 0.9926302
5.897758, 55.0455, 1.662375, 9.928303, 7.329499, 6.082699, 1.435574, 1.982349, 1.586231, 5.127999, 13.77385, 5.564578, 3.754226, 0.9440233
5.99772, 52.6908, 1.587496, 9.433954, 6.933042, 9.779999, 1.364731, 1.896762, 1.509675, 4.858059, 13.10988, 5.234757, 4.695982, 0.8977966
6.097682, 50.43682, 1.51599, 8.964222, 6.55803, 11.7356, 1.297384, 1.814869, 1.436814, 4.602329, 13.79157, 4.924486, 4.444093, 0.8538335
6.197644, 48.27927, 1.447705, 9.582208, 8.780656, 12.76745, 1.23336, 1.736512, 1.367469, 4.36006, 13.41053, 4.632604, 4.68934, 0.8120232
6.297606, 46.21401, 1.382495, 9.338055, 8.305705, 12.14616, 1.172495, 1.661539, 1.301471, 4.130545, 12.76407, 4.358023, 4.437807, 0.7722602
6.397568, 44.2371, 1.320223, 8.873096, 7.856445, 11.55511, 2.002934, 1.589802, 1.238658, 3.913111, 12.14877, 4.099717, 4.199767, 0.7344443
