Time(s),Lick,Rinse,ArtSal,Quinine,NaCl,Sucrose,MSG,Citric
0.0,0,0,0,0,0,0,0,0
19.928,1,0,0,0,0,0,0,0
19.938,0,0,0,0,0,0,0,0
20.039,1,0,0,0,0,0,0,0
20.049,0,0,0,0,0,0,0,0
20.165,1,0,0,0,0,0,0,0
20.175,0,0,0,0,0,0,0,0
20.649,1,1,0,0,0,0,0,0
20.659,0,0,0,0,0,0,0,0
21.023000000000003,1,0,0,0,0,0,0,0
21.033,0,0,0,0,0,0,0,0
21.544,1,0,0,0,0,0,0,0
21.554,0,0,0,0,0,0,0,0
21.781,1,0,0,0,0,0,0,0
21.791,0,0,0,0,0,0,0,0
21.916,1,0,0,0,0,0,0,0
21.926,0,0,0,0,0,0,0,0
22.066999999999997,1,1,0,0,0,0,0,0
22.077,0,0,0,0,0,0,0,0
22.204,1,0,0,0,0,0,0,0
22.214,0,0,0,0,0,0,0,0
22.326999999999998,1,0,0,0,0,0,0,0
22.337,0,0,0,0,0,0,0,0
22.454,1,0,0,0,0,0,0,0
22.464,0,0,0,0,0,0,0,0
22.588,1,0,0,0,0,0,0,0
22.598,0,0,0,0,0,0,0,0
22.732,1,0,0,0,0,0,0,0
22.742,0,0,0,0,0,0,0,0
22.858,1,1,0,0,0,0,0,0
22.868,0,0,0,0,0,0,0,0
23.000999999999998,1,0,0,0,0,0,0,0
23.011,0,0,0,0,0,0,0,0
23.147,1,0,0,0,0,0,0,0
23.157,0,0,0,0,0,0,0,0
23.285,1,0,0,0,0,0,0,0
23.295,0,0,0,0,0,0,0,0
23.441,1,1,0,0,0,0,0,0
23.451,0,0,0,0,0,0,0,0
23.574,1,0,0,0,0,0,0,0
23.584,0,0,0,0,0,0,0,0
23.71,1,0,0,0,0,0,0,0
23.72,0,0,0,0,0,0,0,0
23.853,1,0,0,0,0,0,0,0
23.863,0,0,0,0,0,0,0,0
23.994,1,0,0,0,0,0,0,0
24.004,0,0,0,0,0,0,0,0
24.160999999999998,1,1,0,0,0,0,0,0
24.171,0,0,0,0,0,0,0,0
24.303,1,0,0,0,0,0,0,0
24.313,0,0,0,0,0,0,0,0
24.445,1,0,0,0,0,0,0,0
24.455,0,0,0,0,0,0,0,0
24.589000000000002,1,0,0,0,0,0,0,0
24.599,0,0,0,0,0,0,0,0
24.763,1,0,0,0,0,0,0,0
24.773,0,0,0,0,0,0,0,0
24.886999999999997,1,1,0,0,0,0,0,0
24.897,0,0,0,0,0,0,0,0
25.035,1,0,0,0,0,0,0,0
25.045,0,0,0,0,0,0,0,0
25.182,1,0,0,0,0,0,0,0
25.192,0,0,0,0,0,0,0,0
25.328000000000003,1,0,0,0,0,0,0,0
25.338,0,0,0,0,0,0,0,0
25.475,1,0,0,0,0,0,0,0
25.485,0,0,0,0,0,0,0,0
25.625,1,1,0,0,0,0,0,0
25.635,0,0,0,0,0,0,0,0
25.776999999999997,1,0,0,0,0,0,0,0
25.787,0,0,0,0,0,0,0,0
25.927,1,0,0,0,0,0,0,0
25.937,0,0,0,0,0,0,0,0
26.078000000000003,1,0,0,0,0,0,0,0
26.088,0,0,0,0,0,0,0,0
26.183000000000003,1,0,0,0,0,0,0,0
26.193,0,0,0,0,0,0,0,0
26.393,1,1,0,0,0,0,0,0
26.403,0,0,0,0,0,0,0,0
26.551,1,0,0,0,0,0,0,0
26.561,0,0,0,0,0,0,0,0
26.7,1,0,0,0,0,0,0,0
26.71,0,0,0,0,0,0,0,0
26.844,1,0,0,0,0,0,0,0
26.854,0,0,0,0,0,0,0,0
26.993000000000002,1,1,0,0,0,0,0,0
27.003,0,0,0,0,0,0,0,0
27.141,1,0,0,0,0,0,0,0
27.151,0,0,0,0,0,0,0,0
27.291,1,0,0,0,0,0,0,0
27.301,0,0,0,0,0,0,0,0
27.441999999999997,1,0,0,0,0,0,0,0
27.452,0,0,0,0,0,0,0,0
27.61,1,1,0,0,0,0,0,0
27.62,0,0,0,0,0,0,0,0
27.763,1,0,0,0,0,0,0,0
27.773,0,0,0,0,0,0,0,0
27.912,1,0,0,0,0,0,0,0
27.922,0,0,0,0,0,0,0,0
28.069000000000003,1,0,0,0,0,0,0,0
28.079,0,0,0,0,0,0,0,0
28.226,1,0,0,0,0,0,0,1
28.236,0,0,0,0,0,0,0,0
28.388,1,0,0,0,0,0,0,1
28.398,0,0,0,0,0,0,0,0
28.522,1,0,0,0,0,0,0,1
28.532,0,0,0,0,0,0,0,0
28.676,1,0,0,0,0,0,0,1
28.686,0,0,0,0,0,0,0,0
28.813000000000002,1,0,0,0,0,0,0,1
28.823,0,0,0,0,0,0,0,0
28.956,1,0,0,0,0,0,0,1
28.966,0,0,0,0,0,0,0,0
29.088,1,0,0,0,0,0,0,1
29.098,0,0,0,0,0,0,0,0
29.219,1,0,0,0,0,0,0,1
29.229,0,0,0,0,0,0,0,0
29.362,1,0,0,0,0,0,0,1
29.372,0,0,0,0,0,0,0,0
29.509,1,0,0,0,0,0,0,1
29.519,0,0,0,0,0,0,0,0
29.656999999999996,1,0,0,0,0,0,0,0
29.667,0,0,0,0,0,0,0,0
30.721999999999998,1,0,0,0,0,0,0,0
30.732,0,0,0,0,0,0,0,0
30.865,1,0,0,0,0,0,0,0
30.875,0,0,0,0,0,0,0,0
31.002,1,1,0,0,0,0,0,0
31.012,0,0,0,0,0,0,0,0
31.165,1,0,0,0,0,0,0,0
31.175,0,0,0,0,0,0,0,0
31.333000000000002,1,0,0,0,0,0,0,0
31.343,0,0,0,0,0,0,0,0
31.465,1,0,0,0,0,0,0,0
31.475,0,0,0,0,0,0,0,0
31.566,1,0,0,0,0,0,0,0
31.576,0,0,0,0,0,0,0,0
31.767,1,0,0,0,0,0,0,0
31.777,0,0,0,0,0,0,0,0
31.874000000000002,1,1,0,0,0,0,0,0
31.884,0,0,0,0,0,0,0,0
32.08,1,0,0,0,0,0,0,0
32.09,0,0,0,0,0,0,0,0
32.236,1,0,0,0,0,0,0,0
32.246,0,0,0,0,0,0,0,0
32.346,1,0,0,0,0,0,0,0
32.356,0,0,0,0,0,0,0,0
32.554,1,1,0,0,0,0,0,0
32.564,0,0,0,0,0,0,0,0
32.664,1,0,0,0,0,0,0,0
32.674,0,0,0,0,0,0,0,0
32.875,1,0,0,0,0,0,0,0
32.885,0,0,0,0,0,0,0,0
32.984,1,0,0,0,0,0,0,0
32.994,0,0,0,0,0,0,0,0
33.149,1,0,0,0,0,0,0,0
33.159,0,0,0,0,0,0,0,0
33.319,1,1,0,0,0,0,0,0
33.329,0,0,0,0,0,0,0,0
33.48,1,0,0,0,0,0,0,0
33.49,0,0,0,0,0,0,0,0
33.645,1,0,0,0,0,0,0,0
33.655,0,0,0,0,0,0,0,0
33.859,1,0,0,0,0,0,0,0
33.869,0,0,0,0,0,0,0,0
34.022,1,0,0,0,0,0,0,0
34.032,0,0,0,0,0,0,0,0
34.126,1,0,0,0,0,0,0,0
34.136,0,0,0,0,0,0,0,0
34.305,1,1,0,0,0,0,0,0
34.315,0,0,0,0,0,0,0,0
34.525999999999996,1,0,0,0,0,0,0,0
34.536,0,0,0,0,0,0,0,0
34.646,1,0,0,0,0,0,0,0
34.656,0,0,0,0,0,0,0,0
34.821,1,0,0,0,0,0,0,0
34.831,0,0,0,0,0,0,0,0
34.984,1,1,0,0,0,0,0,0
34.994,0,0,0,0,0,0,0,0
35.155,1,0,0,0,0,0,0,0
35.165,0,0,0,0,0,0,0,0
35.373000000000005,1,0,0,0,0,0,0,0
35.383,0,0,0,0,0,0,0,0
