 , C0, C1, C2, C3, C4, C5, C6
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted
3.350973, 0.1221246, -0.0007795677, 0.009981798, -0.01919787, -0.00828045, 0.004766303, -0.001544458
3.409762, 0.1181343, -0.003200371, 0.00792043, -0.0180932, -0.01200006, 0.008730106, -0.004789945
3.468551, 0.1177648, 0.0009529835, 0.008653536, -0.01884112, -0.01494904, 0.006056863, -0.001218402
3.52734, 0.1147829, -0.000955076, 0.01233938, -0.02045311, -0.0111614, 0.01224423, -0.002416062
3.586129, 0.1113414, -0.001375321, 0.01211227, -0.01875328, -0.01840582, 0.01102859, 0.003502087
3.644918, 0.09732632, -0.004539156, 0.008854421, -0.02111294, -0.01355098, 0.003516529, -0.00228819
3.703707, 0.09721369, -0.00164718, 0.006942818, -0.02171326, -0.01359154, 0.002814124, 0.004397366
3.762496, 0.1054939, 0.00265309, 0.003350821, -0.01878011, -0.01365245, 0.01281462, 0.002840833
3.821285, 0.1038863, -0.003479305, 0.004614531, -0.01515934, -0.0156101, 0.004248147, -0.001290583
3.880074, 0.1190734, -0.0009432964, 0.002513236, -0.01688377, -0.01225744, 0.008353215, 0.0001027989
3.938863, 0.1186088, -0.0004298734, 0.00391389, -0.02060297, -0.01810437, 0.00210782, 0.004526619
3.997652, 0.1203666, -0.002679528, 0.00265995, -0.01955621, -0.01141373, 0.01616394, 0.004826977
4.056441, 0.1167305, 0.001665922, 0.003742712, -0.01997924, -0.01975086, 0.01220268, -0.000347083
4.11523, 0.1071809, -0.0007752645, -0.0001748425, -0.01776282, -0.01284255, 0.01349619, 0.00198568
4.174019, 0.09310192, -0.002873946, 0.009348293, -0.02385073, -0.01962658, 0.01061142, 0.0004000678
4.232808, 0.1083867, -0.00502573, 0.008829296, -0.0187634, -0.01487451, 0.008792372, 0.001564908
4.291597, 0.1062593, -0.0005572644, 0.006206605, -0.01948549, -0.01269698, 0.01040191, 0.004146458
4.350386, 0.1076392, 0.0003923868, 0.0078177, -0.01858729, -0.01372296, 0.01125372, 0.007284603
4.409175, 0.1150624, 0.001446557, 0.006101619, -0.02013709, -0.01241175, 0.01193334, 0.004827687
4.467964, 0.1136899, 1.304643e-05, 0.005966461, -0.0171192, -0.01315589, 0.0151399, -0.0007308181
